Advisor_ID,Name,Title,Category,Audience,Colleges,Accreditations,Fun_Fact,Specialty,Assigned_Branch_ID,Metadata_Tags,Biography
ADV_001,Ava Sterling,Senior Wealth Manager,Advisor,All,Villanova University,"CFP, ChFC",I have visited every MLB stadium in the United States.,Retirement Planning,LOC_SJ_01,"Villanova, Wealth, Estate","Marcus Thorne, CFP, ChFC, is a seasoned financial advisor dedicated to helping individuals achieve their retirement goals. With a comprehensive understanding of financial planning principles and a specialization in retirement strategies, Marcus develops customized plans that address each client's unique circumstances. He earned his degree from Villanova University, providing him with a strong foundation in financial theory and practice. Marcus's commitment to ongoing education and client success ensures he remains at the forefront of industry best practices. Outside of the office, Marcus is passionate about baseball and has visited every MLB stadium in the United States.
"
ADV_002,Owen Hayes,Investment Strategist,Advisor,All,University of Pennsylvania,"CFA, CIPM",I am a competitive ballroom dancer on the weekends.,Portfolio Management,LOC_SJ_04,"UPenn, Strategy, Investment","Elena Rodriguez, CFA, CIPM, is a seasoned financial advisor specializing in portfolio management, helping clients achieve their long-term financial goals with tailored strategies. Backed by a strong academic foundation from the University of Pennsylvania, Elena leverages her expertise in investment analysis and risk management to construct and optimize portfolios that align with individual needs and objectives. Her commitment to staying ahead of market trends ensures clients benefit from informed and proactive financial guidance. Elena believes in building lasting relationships based on trust and transparency, empowering clients to navigate the complexities of the financial landscape with confidence. Outside of the office, Elena brings passion and discipline to a different stage as a competitive ballroom dancer.
"
ADV_016,Sophia Moreau,Retirement Income Specialist,Advisor,All,Rutgers University,"RICP, CFP",I have a collection of over 200 vintage NJ transit maps.,Social Security Optimization,LOC_SJ_03,"Rutgers, Retirement, Income","Dominic Santoro, RICP, CFP, is a seasoned financial advisor dedicated to helping clients navigate the complexities of retirement planning. With a particular focus on Social Security optimization, Dominic leverages his in-depth knowledge to maximize benefits and secure financial futures. A graduate of Rutgers University, he brings a strong academic foundation and a commitment to ongoing professional development to his practice. Dominic believes in building lasting relationships based on trust and transparency, providing personalized advice tailored to each client's unique circumstances. When he's not crafting financial strategies, Dominic enjoys indulging his passion for local history, as evidenced by his collection of over 200 vintage NJ Transit maps.
"
ADV_017,Liam Caldwell,Business Transition Advisor,Advisor,All,Princeton University,"CEPA, CPA",I once spent a summer living in a lighthouse in Maine.,Succession Planning,LOC_SJ_10,"Princeton, Business, Tax","Lydia Sterling is a seasoned financial advisor dedicated to helping families and business owners navigate the complexities of wealth management and legacy planning. With a sharp focus on succession planning, Lydia provides tailored strategies to ensure a smooth and successful transfer of assets and leadership. Her expertise, cultivated through years of experience and a rigorous education at Princeton University, is further reinforced by her accreditations as a Certified Exit Planning Advisor (CEPA) and Certified Public Accountant (CPA). Lydia's commitment extends beyond financial acumen, fostering genuine relationships built on trust and understanding. Outside the office, she embraces unique experiences; she once spent a summer living in a lighthouse in Maine!
"
ADV_018,Chloe Bennett,Estate Planning Consultant,Advisor,All,Temple University,"JD, CTFA",I can identify any tree species by just looking at the bark.,Trust & Estate Services,LOC_SJ_05,"Temple, Estate, Law","Julian Vane is a seasoned financial advisor specializing in Trust & Estate Services. With a Juris Doctor (JD) and Certified Trust and Fiduciary Advisor (CTFA) accreditation, Julian brings a comprehensive legal and financial perspective to complex estate planning. He is dedicated to helping clients navigate the intricacies of wealth transfer, ensuring their legacies are preserved and their families are secure. A graduate of Temple University, Julian combines rigorous analysis with personalized service, understanding that each client's needs are unique. He works diligently to build long-term relationships based on trust and clear communication. Outside of the office, Julian enjoys spending time outdoors and can identify any tree species by just looking at the bark.
"
ADV_019,Noah Harrison,Senior Portfolio Manager,Advisor,All,Drexel University,CFA,I have successfully completed the 7-day 'Ragnar' relay race.,Asset Allocation,LOC_SJ_02,"Drexel, Portfolio","Sienna Brooks, CFA, is a dedicated financial advisor committed to helping clients achieve their financial goals through strategic asset allocation. With a strong foundation in finance from Drexel University, Sienna possesses a deep understanding of market dynamics and investment strategies. She excels at crafting personalized portfolios that align with each client's unique risk tolerance and long-term objectives. Sienna's focus on asset allocation ensures diversified and resilient portfolios designed to weather market fluctuations. Driven by a passion for both finance and personal achievement, Sienna brings discipline and dedication to every client relationship. Outside of the office, she enjoys challenges of a different kind, having successfully completed the 7-day 'Ragnar' relay race.
"
ADV_020,Isabella Foster,Tax-Efficient Strategist,Advisor,All,Lehigh University,"CPA, PFS",I am a certified master of the charcoal grill.,Tax Loss Harvesting,LOC_SJ_09,"Lehigh, Tax, Strategy","Xavier Quinn, CPA, PFS, is a dedicated financial advisor committed to helping clients optimize their financial well-being. A graduate of Lehigh University, Xavier brings a wealth of knowledge and a meticulous approach to financial planning. He specializes in sophisticated investment strategies, particularly tax loss harvesting, to minimize tax liabilities and maximize long-term portfolio growth. Xavier believes in building strong, trusting relationships with his clients, understanding their unique goals, and providing tailored advice to navigate the complexities of the financial landscape. Outside the office, you can find him perfecting his craft as a certified master of the charcoal grill.
"
ADV_021,Jackson Rivera,Education Savings Advisor,Advisor,All,La Salle University,CFP,I have a recurring role as an extra in local theater.,529 & College Planning,LOC_SJ_07,"LaSalle, College, 529","Fiona Gallagher, CFP®, is dedicated to helping families achieve their education savings goals. As a financial advisor, Fiona specializes in 529 plans and college planning strategies, guiding clients through the complexities of funding future education expenses. She holds a strong foundation in finance from La Salle University and leverages her expertise to create personalized plans that maximize savings and minimize financial burdens. Fiona believes in building lasting relationships with her clients, offering clear and straightforward advice every step of the way. Outside of finance, Fiona enjoys the vibrant local arts scene and even has a recurring role as an extra in local theater productions!
"
ADV_022,Mia Peterson,Small Business Specialist,Advisor,All,Rowan University,ChFC,I built a functional grandfather clock from scratch.,SBA Loan Navigation,LOC_SJ_19,"Rowan, Business, Local","Grant Miller, ChFC, is a seasoned financial advisor dedicated to empowering entrepreneurs and small business owners. With a strong foundation built upon his education at Rowan University, Grant specializes in navigating the complexities of SBA loans. He possesses a deep understanding of the lending landscape and is committed to guiding clients through every step, from application to approval. Grant’s approach is built on trust, clear communication, and a personalized strategy tailored to each client's unique needs. He strives to provide actionable advice that fosters long-term financial success. Beyond finance, Grant appreciates craftsmanship and attention to detail; he even built a functional grandfather clock from scratch!
"
ADV_023,Aiden Murphy,Wealth Partner,Advisor,All,NYU,"CFP, CPWA",I have a secret recipe for sourdough that is 10 years old.,High Net Worth Strategy,LOC_NY_02,"NYU, HNW, Private","Beatrice Ng, CFP, CPWA, is a seasoned financial advisor dedicated to crafting sophisticated strategies for high-net-worth individuals and families. Her deep understanding of complex financial landscapes, honed by her education at NYU, allows her to create tailored plans focused on wealth preservation, growth, and generational wealth transfer. Beatrice takes a holistic approach, considering each client's unique circumstances and aspirations to deliver personalized solutions that navigate market complexities and achieve long-term financial security. Beyond the world of finance, Beatrice nurtures a passion for baking. In fact, she has a secret sourdough recipe that is 10 years old!
"
